<http://uri.gbv.de/terminology/bk/11.31>	Bibeltext. Bibelübersetzungen
<http://uri.gbv.de/terminology/bk/11.33>	Textkritik. historische Kritik
<http://uri.gbv.de/terminology/bk/11.34>	Exegese. Hermeneutik
<http://uri.gbv.de/terminology/bk/11.36>	Biblische Theologie
<http://uri.gbv.de/terminology/bk/11.37>	Apokryphen. Pseudepigraphen
<http://uri.gbv.de/terminology/bk/11.38>	Altes Testament
<http://uri.gbv.de/terminology/bk/11.39>	Textkritik. historische Kritik
<http://uri.gbv.de/terminology/bk/11.40>	Exegese. Hermeneutik
<http://uri.gbv.de/terminology/bk/11.41>	Theologie des Alten Testaments
<http://uri.gbv.de/terminology/bk/11.43>	Altes Testament in Beziehung zu anderen Kulturen
<http://uri.gbv.de/terminology/bk/11.44>	Neues Testament
<http://uri.gbv.de/terminology/bk/11.45>	Textkritik. historische Kritik
<http://uri.gbv.de/terminology/bk/11.46>	Exegese. Hermeneutik
<http://uri.gbv.de/terminology/bk/11.47>	Theologie des Neuen Testaments
<http://uri.gbv.de/terminology/bk/11.48>	Kulturgeschichtlicher Hintergrund
<http://uri.gbv.de/terminology/bk/11.49>	Bibel: Sonstiges
<http://uri.gbv.de/terminology/bk/11.50>	Kirchengeschichte. Dogmengeschichte
<http://uri.gbv.de/terminology/bk/11.51>	Frühes Christentum
<http://uri.gbv.de/terminology/bk/11.52>	Mittelalterliches Christentum
<http://uri.gbv.de/terminology/bk/11.53>	Neuzeitliches Christentum
<http://uri.gbv.de/terminology/bk/11.54>	Katholizismus
<http://uri.gbv.de/terminology/bk/11.55>	Protestantismus
<http://uri.gbv.de/terminology/bk/11.57>	Ostchristentum
<http://uri.gbv.de/terminology/bk/11.58>	Sonstige christliche Gemeinschaften
<http://uri.gbv.de/terminology/bk/11.60>	Systematische Theologie: Allgemeines
<http://uri.gbv.de/terminology/bk/11.61>	Dogmatik. Konfessionskunde
<http://uri.gbv.de/terminology/bk/11.62>	Christliche Ethik
<http://uri.gbv.de/terminology/bk/11.63>	Christliche Erbauungsliteratur
<http://uri.gbv.de/terminology/bk/11.69>	Systematische Theologie: Sonstiges
<http://uri.gbv.de/terminology/bk/11.70>	Praktische Theologie: Allgemeines
<http://uri.gbv.de/terminology/bk/11.71>	Seelsorge
<http://uri.gbv.de/terminology/bk/11.72>	Kirchliche Soziologie
<http://uri.gbv.de/terminology/bk/11.73>	Kirchenorganisation
<http://uri.gbv.de/terminology/bk/11.74>	Liturgik
<http://uri.gbv.de/terminology/bk/11.75>	Homiletik
<http://uri.gbv.de/terminology/bk/11.76>	Geistliches Amt
<http://uri.gbv.de/terminology/bk/11.77>	Religionspädagogik
<http://uri.gbv.de/terminology/bk/11.78>	Missionswissenschaft
<http://uri.gbv.de/terminology/bk/11.79>	Praktische Theologie: Sonstiges
<http://uri.gbv.de/terminology/bk/11.80>	Islam: Allgemeines
<http://uri.gbv.de/terminology/bk/11.81>	Koran
<http://uri.gbv.de/terminology/bk/11.82>	Traditionsliteratur
<http://uri.gbv.de/terminology/bk/11.83>	Strömungen. Glaubensrichtungen
<http://uri.gbv.de/terminology/bk/11.84>	Islam: Sonstiges
<http://uri.gbv.de/terminology/bk/11.87>	Chinesische Religionen
<http://uri.gbv.de/terminology/bk/11.88>	Schintoismus
<http://uri.gbv.de/terminology/bk/11.90>	Indische Religionen: Allgemeines
<http://uri.gbv.de/terminology/bk/11.91>	Vedismus. Brahmanismus
<http://uri.gbv.de/terminology/bk/11.92>	Hinduismus
<http://uri.gbv.de/terminology/bk/11.93>	Buddhismus
<http://uri.gbv.de/terminology/bk/11.94>	Indische Religionen: Sonstiges
<http://uri.gbv.de/terminology/bk/11.97>	Neue religiöse Bewegungen. Sekten
<http://uri.gbv.de/terminology/bk/11.98>	Sonstige Religionen
<http://uri.gbv.de/terminology/bk/11.99>	Theologie, Religionswissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/15>	Geschichte
<http://uri.gbv.de/terminology/bk/15.00>	Geschichte: Allgemeines
<http://uri.gbv.de/terminology/bk/15.01>	Historiographie
<http://uri.gbv.de/terminology/bk/15.03>	Theorie und Methoden der Geschichtswissenschaft
<http://uri.gbv.de/terminology/bk/15.04>	Ausbildung, Beruf, Organisationen
<http://uri.gbv.de/terminology/bk/15.06>	Politische Geschichte
<http://uri.gbv.de/terminology/bk/15.07>	Kulturgeschichte
<http://uri.gbv.de/terminology/bk/15.08>	Sozialgeschichte
<http://uri.gbv.de/terminology/bk/15.09>	Wirtschaftsgeschichte
<http://uri.gbv.de/terminology/bk/15.10>	Historische Hilfswissenschaften
<http://uri.gbv.de/terminology/bk/15.11>	Chronologie
<http://uri.gbv.de/terminology/bk/15.12>	Genealogie. Heraldik
<http://uri.gbv.de/terminology/bk/15.13>	Numismatik. Sphragistik
<http://uri.gbv.de/terminology/bk/15.14>	Diplomatik. Epigraphik
<http://uri.gbv.de/terminology/bk/15.15>	Archäologie
<http://uri.gbv.de/terminology/bk/15.16>	Altorientalische Archäologie. christliche Archäologie
<http://uri.gbv.de/terminology/bk/15.17>	Klassische Archäologie
<http://uri.gbv.de/terminology/bk/15.18>	Mittelalterliche Archäologie. neuzeitliche Archäologie
<http://uri.gbv.de/terminology/bk/15.19>	Vor- und Frühgeschichte
<http://uri.gbv.de/terminology/bk/15.20>	Allgemeine Weltgeschichte
<http://uri.gbv.de/terminology/bk/15.21>	Geschichte großer Gebietsräume
<http://uri.gbv.de/terminology/bk/15.22>	Geschichte der Entdeckungen
<http://uri.gbv.de/terminology/bk/15.23>	Erster Weltkrieg
<http://uri.gbv.de/terminology/bk/15.24>	Zweiter Weltkrieg
<http://uri.gbv.de/terminology/bk/15.25>	Alte Geschichte
<http://uri.gbv.de/terminology/bk/15.26>	Alter Orient. Nordafrika
<http://uri.gbv.de/terminology/bk/15.27>	Griechische Welt
<http://uri.gbv.de/terminology/bk/15.28>	Römisches Reich
<http://uri.gbv.de/terminology/bk/15.29>	Byzantinisches Reich
<http://uri.gbv.de/terminology/bk/15.30>	Europäische Geschichte in Mittelalter und Neuzeit: Allgemeines
<http://uri.gbv.de/terminology/bk/15.31>	Frühes Mittelalter
<http://uri.gbv.de/terminology/bk/15.32>	Fränkisches Reich
<http://uri.gbv.de/terminology/bk/15.33>	Hoch- und Spätmittelalter
<http://uri.gbv.de/terminology/bk/15.34>	Europäische Geschichte 1492-1789
<http://uri.gbv.de/terminology/bk/15.35>	Europäische Geschichte 1789-1815
<http://uri.gbv.de/terminology/bk/15.36>	Europäische Geschichte 1815-1914
<http://uri.gbv.de/terminology/bk/15.37>	Europäische Geschichte 1914-1945
<http://uri.gbv.de/terminology/bk/15.38>	Europäische Geschichte nach 1945
<http://uri.gbv.de/terminology/bk/15.40>	Deutsche Geschichte: Allgemeines
<http://uri.gbv.de/terminology/bk/15.41>	Deutsche Geschichte bis 1499
<http://uri.gbv.de/terminology/bk/15.42>	Deutsche Geschichte 1500-1800
<http://uri.gbv.de/terminology/bk/15.43>	Deutsche Geschichte des 19. Jahrhunderts bis zur Gegenwart
<http://uri.gbv.de/terminology/bk/15.45>	Geschichte der deutschen Länder und Städte: Allgemeines
<http://uri.gbv.de/terminology/bk/15.46>	Brandenburg. Preußen. Berlin
<http://uri.gbv.de/terminology/bk/15.47>	Mecklenburg-Vorpommern. Pommern
<http://uri.gbv.de/terminology/bk/15.48>	Sachsen. Sachsen-Anhalt. Thüringen
<http://uri.gbv.de/terminology/bk/15.49>	Ostmitteleuropa
<http://uri.gbv.de/terminology/bk/15.50>	Schleswig-Holstein. Lübeck. Hamburg
<http://uri.gbv.de/terminology/bk/15.51>	Niedersachsen. Bremen
<http://uri.gbv.de/terminology/bk/15.52>	Hessen
<http://uri.gbv.de/terminology/bk/15.53>	Nordrhein-Westfalen
<http://uri.gbv.de/terminology/bk/15.54>	Rheinland-Pfalz. Saarland
<http://uri.gbv.de/terminology/bk/15.55>	Baden-Württemberg
<http://uri.gbv.de/terminology/bk/15.56>	Bayern
<http://uri.gbv.de/terminology/bk/15.60>	Schweiz. Österreich-Ungarn. Österreich
<http://uri.gbv.de/terminology/bk/15.61>	Tschechien. Slowakei. Ungarn
<http://uri.gbv.de/terminology/bk/15.62>	Skandinavien. Nordeuropa
<http://uri.gbv.de/terminology/bk/15.63>	Belgien. Niederlande. Luxemburg
<http://uri.gbv.de/terminology/bk/15.64>	Großbritannien. Irland
<http://uri.gbv.de/terminology/bk/15.65>	Frankreich
<http://uri.gbv.de/terminology/bk/15.66>	Spanien. Portugal
<http://uri.gbv.de/terminology/bk/15.67>	Italien
<http://uri.gbv.de/terminology/bk/15.68>	Türkei
<http://uri.gbv.de/terminology/bk/15.69>	Griechenland
<http://uri.gbv.de/terminology/bk/15.70>	Balkanstaaten
<http://uri.gbv.de/terminology/bk/15.71>	Osteuropa
<http://uri.gbv.de/terminology/bk/15.72>	Polen
<http://uri.gbv.de/terminology/bk/15.73>	Baltische Republiken
<http://uri.gbv.de/terminology/bk/15.74>	Russland
<http://uri.gbv.de/terminology/bk/15.75>	Asien: Allgemeines
<http://uri.gbv.de/terminology/bk/15.76>	Vorderer und mittlerer Orient
<http://uri.gbv.de/terminology/bk/15.77>	Indischer Subkontinent
<http://uri.gbv.de/terminology/bk/15.78>	Südostasien
<http://uri.gbv.de/terminology/bk/15.79>	China
<http://uri.gbv.de/terminology/bk/15.80>	Japan
<http://uri.gbv.de/terminology/bk/15.81>	Korea
<http://uri.gbv.de/terminology/bk/15.85>	Amerika: Allgemeines
<http://uri.gbv.de/terminology/bk/15.86>	Kanada
<http://uri.gbv.de/terminology/bk/15.87>	USA
<http://uri.gbv.de/terminology/bk/15.88>	Mittelamerika. Südamerika
<http://uri.gbv.de/terminology/bk/15.90>	Afrika: Allgemeines
<http://uri.gbv.de/terminology/bk/15.91>	Nordafrika
<http://uri.gbv.de/terminology/bk/15.92>	Afrika südlich der Sahara
<http://uri.gbv.de/terminology/bk/15.95>	Australien. Neuseeland. Ozeanien
<http://uri.gbv.de/terminology/bk/15.96>	Geschichte des jüdischen Volkes außerhalb des Staates Israel
<http://uri.gbv.de/terminology/bk/15.99>	Geschichte: Sonstiges
<http://uri.gbv.de/terminology/bk/17>	Sprach- und Literaturwissenschaft
